representation	label	accuracy	balanced_accuracy	macro_f1	n_splits	n_classes
majority	polarity	0.8183139534883721	0.3333333333333333	0.30002664535038637	5.0	3.0
tfidf_char_3_5	polarity	0.8226744186046512	0.4880879185941353	0.5113506540111702	5.0	3.0
majority	evidence	0.38808139534883723	0.25	0.13979057591623037	5.0	4.0
tfidf_char_3_5	evidence	0.5058139534883721	0.4673726706849099	0.4683414213448303	5.0	4.0
majority	function	0.8851744186046512	0.5	0.46954510408635314	5.0	2.0
tfidf_char_3_5	function	0.7412790697674418	0.6004863752572177	0.5566239935121358	5.0	2.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	polarity	0.7398255813953488	0.4442853130686168	0.4338570626173179	5.0	3.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	evidence	0.40843023255813954	0.3878219609158438	0.38114117939427955	5.0	4.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	function	0.7441860465116279	0.5360312610421734	0.5203371836922248	5.0	2.0
gpt2	polarity	0.748546511627907	0.4426115871497754	0.4375453560730833	5.0	3.0
gpt2	evidence	0.39825581395348836	0.33729692581376003	0.33742204236595885	5.0	4.0
gpt2	function	0.7819767441860465	0.535345347217892	0.5294718412605778	5.0	2.0
Qwen/Qwen3-0.6B	polarity	0.7543604651162791	0.429698902833894	0.4262227776303664	5.0	3.0
Qwen/Qwen3-0.6B	evidence	0.47093023255813954	0.39728844212513115	0.4002447106867562	5.0	4.0
Qwen/Qwen3-0.6B	function	0.7805232558139535	0.5455405208788011	0.5369233718012151	5.0	2.0
