model	row_id	language	marker_text	foil_marker_text	gold_logprob_mean	foil_logprob_mean	gold_logprob_sum	foil_logprob_sum	gold_tokens	foil_tokens	delta_mean	gold_preferred	polarity	evidence	marker_morphosyntax
gpt2	modal_0000	English	maybe	probably	-3.45289213458697	-4.123544742663701	-20.71735280752182	-24.74126845598221	6.0	6.0	0.6706526080767312	True	positive	inferential	lexicon_adverb
gpt2	modal_0029	English	probably	apparently	-2.555159632116556	-3.1928246524184942	-20.44127705693245	-25.542597219347954	8.0	8.0	0.6376650203019381	True	positive	inferential	lexicon_adverb
gpt2	modal_0032	English	as you know	in ef]fect	-3.6799168160983493	-5.23226074129343	-51.51883542537689	-83.71617186069489	14.0	16.0	1.552343925195081	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0037	English	apparently	possibly	-9.202442169189453	-10.927745819091797	-9.202442169189453	-10.927745819091797	1.0	1.0	1.7253036499023438	True	positive	reported	lexicon_adverb
gpt2	modal_0040	English	obviously	in ef]fect	-4.83980405330658	-6.989661494890849	-9.67960810661316	-41.93796896934509	2.0	6.0	2.1498574415842695	True	positive	inferential	lexicon_adverb
gpt2	modal_0041	English	apparently	probably	-4.865533794675555	-4.718375750950405	-34.05873656272888	-33.02863025665283	7.0	7.0	-0.14715804372514985	False	positive	reported	lexicon_adverb
gpt2	modal_0062	English	probably	possibly	-3.9710264205932617	-5.783261656761169	-7.942052841186523	-11.566523313522339	2.0	2.0	1.8122352361679077	True	positive	inferential	lexicon_adverb
gpt2	modal_0082	English	apparently	probably	-4.2886596236910135	-4.4652296017323225	-90.06185209751129	-93.76982163637877	21.0	21.0	0.17656997804130903	True	positive	reported	lexicon_adverb
gpt2	modal_0090	English	apparently	probably	-3.3475898146629333	-3.3728449404239655	-33.47589814662933	-33.728449404239655	10.0	10.0	0.025255125761032282	True	positive	reported	lexicon_adverb
gpt2	modal_0094	English	maybe	basically	-2.4806070228417716	-3.3982739051183066	-14.883642137050629	-20.38964343070984	6.0	6.0	0.917666882276535	True	positive	situated	lexicon_adverb
gpt2	modal_0106	English	basically	probab	-4.345381557941437	-5.02295458452268	-91.25301271677017	-110.50500085949898	21.0	22.0	0.6775730265812436	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0107	English	maybe	probably	-3.593714590809357	-3.6721568595078824	-68.28057722537778	-69.77098033064976	19.0	19.0	0.07844226869852555	True	positive	situated	lexicon_adverb
gpt2	modal_0123	English	basically	like you say	-2.751255245447015	-2.7300153501916307	-93.54267834519851	-98.28055260689871	34.0	36.0	-0.0212398952553845	False	positive	no_evidence	lexicon_adverb
gpt2	modal_0214	English	probab	maybe	-10.875094413757324	-7.602834701538086	-21.75018882751465	-7.602834701538086	2.0	1.0	-3.2722597122192383	False	positive	inferential	lexicon_adverb
gpt2	modal_0281	English	Maybe	probab	-4.394120613733928	-8.046895802021027	-13.182361841201782	-32.187583208084106	3.0	4.0	3.652775188287099	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0451	English	unless I'm wrong	basically	-4.324920709874919	-4.238452537417678	-73.52365206787363	-59.33833552384749	17.0	14.0	-0.08646817245724137	False	positive	inferential	lexicon_adverb
gpt2	modal_0469	English	[More- -- more li]kely than not	apparently	-5.832158760590986	-11.289758682250977	-64.15374636650085	-11.289758682250977	11.0	1.0	5.45759992165999	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0474	English	in ef]fect	Really?	-3.7010017750134434	-3.8337504765368067	-107.32905147538986	-99.67751238995697	29.0	26.0	0.13274870152336327	True	positive	reported	lexicon_adverb
gpt2	modal_0526	English	probably	maybe	-3.6541975140571594	-3.46753466129303	-14.616790056228638	-13.87013864517212	4.0	4.0	-0.18666285276412964	False	positive	no_evidence	lexicon_adverb
gpt2	modal_0530	English	of course	probably	-2.9149413808481768	-4.273390345741063	-17.48964828508906	-21.366951728705317	6.0	5.0	1.3584489648928866	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0562	English	Really?	possibly	-3.683306246995926	-13.706875801086426	-7.366612493991852	-13.706875801086426	2.0	1.0	10.0235695540905	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0575	English	probably	in ef]fect	-3.395320951938629	-6.262138545513153	-23.767246663570404	-68.88352400064468	7.0	11.0	2.866817593574524	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0578	English	probably	basically	-3.0551793972651162	-4.213146527608235	-9.16553819179535	-12.639439582824707	3.0	3.0	1.1579671303431192	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0603	English	apparently	maybe	-5.903172969818115	-6.146726131439209	-11.80634593963623	-12.293452262878418	2.0	2.0	0.24355316162109375	True	neutral	no_evidence	lexicon_adverb
gpt2	modal_0629	English	possibly	probably	-4.410330321107592	-4.322072454861233	-30.872312247753143	-30.254507184028625	7.0	7.0	-0.08825786624635956	False	neutral	no_evidence	lexicon_adverb
gpt2	modal_0671	English	probably	in ef]fect	-3.0246838331222534	-5.45677564740181	-18.14810299873352	-54.5677564740181	6.0	10.0	2.4320918142795565	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0675	English	definitely	apparently	-4.362039656511375	-4.361225964235408	-30.534277595579624	-30.528581749647856	7.0	7.0	-0.0008136922759671705	False	positive	no_evidence	lexicon_adverb
gpt2	modal_0710	English	like you say	obviously	-2.6566317416727543	-2.7950124306604267	-58.445898316800594	-55.90024861320853	22.0	20.0	0.13838068898767242	True	positive	reported	lexicon_adverb
gpt2	modal_0711	English	maybe	apparently	-2.418288633619484	-2.7151720129737726	-45.9474840387702	-51.588268246501684	19.0	19.0	0.29688337935428866	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0712	English	maybe	basically	-2.750445951521397	-3.3314810916781425	-27.504459515213966	-33.314810916781425	10.0	10.0	0.5810351401567457	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0713	English	probably	apparently	-2.9788665901869535	-4.3326029274612665	-11.915466360747814	-17.330411709845066	4.0	4.0	1.353736337274313	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0739	English	probably	apparently	-3.5778631269931793	-4.547783970832825	-14.311452507972717	-18.1911358833313	4.0	4.0	0.9699208438396454	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0742	English	probably	Really?	-3.551401104032993	-4.910643833604726	-35.51401104032993	-54.017082169651985	10.0	11.0	1.3592427295717329	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0745	English	Maybe	probably	-5.292207977837986	-5.230478922526042	-95.25974360108376	-94.14862060546875	18.0	18.0	-0.06172905531194406	False	positive	no_evidence	lexicon_adverb
gpt2	modal_0885	French	forcément	tout à fait	-5.157792925834656	-2.771674108505249	-15.473378777503967	-13.858370542526245	3.0	5.0	-2.3861188173294066	False	positive	inferential	lexicon_adverb
gpt2	modal_0888	French	à mes yeux	absolument	-3.714084961177672	-3.4718234442407265	-63.13944434002042	-55.549175107851624	17.0	16.0	-0.2422615169369453	False	positive	inferential	lexicon_adverb
gpt2	modal_0906	French	vraiment	peut-être	-2.9298888930352405	-2.845812774363107	-117.19555572140962	-119.52413652325049	40.0	42.0	-0.08407611867213349	False	positive	no_evidence	lexicon_adverb
gpt2	modal_0907	French	pour moi	forcément	-2.8774263783231038	-3.0866686930336678	-94.95507048466243	-101.86006687011104	33.0	33.0	0.20924231471056398	True	positive	no_evidence	lexicon_adverb
gpt2	modal_0916	French	effectivement	franchement	-8.193389154970646	-7.033344109853108	-16.386778309941292	-21.100032329559326	2.0	3.0	-1.1600450451175375	False	positive	situated	lexicon_adverb
gpt2	modal_0922	French	forcément	exactement	-3.687180581036955	-4.014066855236888	-22.12308348622173	-20.07033427618444	6.0	5.0	0.326886274199933	True	positive	inferential	lexicon_adverb
gpt2	modal_0979	French	peut être	si tu as vu	-2.6322094860176244	-6.030450264612834	-15.793256916105747	-36.182701587677	6.0	6.0	3.3982407785952096	True	positive	inferential	lexicon_adverb
gpt2	modal_0996	French	vraiment	pour vous	-3.514994108428558	-3.3222397313349776	-63.26989395171404	-59.8003151640296	18.0	18.0	-0.19275437709358023	False	positive	inferential	lexicon_adverb
